Riding No.,Riding Name,Political Affiliation,Last Name,First Name,Middle Name
24032,LaSalle--Émard,Marijuana Party,St-Cyr,Mathieux,
24033,Laurentides,Canadian Alliance,Azeff,William,
24033,Laurentides,Liberal,Boyer,Dominique,
24033,Laurentides,Bloc Québécois,Guay,Monique,
24033,Laurentides,Natural Law Party,Millaire,Jacinthe,
24033,Laurentides,N.D.P.,Naef,Brendan,
24033,Laurentides,Progressive Conservative,Vien,Jacques,
24034,Laurier--Sainte-Marie,Marxist-Leninist,Boutet,Ginette,
24034,Laurier--Sainte-Marie,N.D.P.,Chartier,Richard,
24034,Laurier--Sainte-Marie,Liberal,Côté,Jean,Philippe
24034,Laurier--Sainte-Marie,Bloc Québécois,Duceppe,Gilles,
24034,Laurier--Sainte-Marie,Green Party,Perceval-Maxwell,Dylan,
24034,Laurier--Sainte-Marie,Canadian Alliance,Prud'homme,Stéphane,
24034,Laurier--Sainte-Marie,Marijuana Party,St-Maurice,Marc-Boris,
24034,Laurier--Sainte-Marie,Progressive Conservative,Tessier,Jean,François
24035,Laval Centre,Green Party,Bernard,Julien,
24035,Laval Centre,Bloc Québécois,Dalphond-Guiral,Madeleine,
24035,Laval Centre,N.D.P.,Dion,Jean-Yves,
24035,Laval Centre,Progressive Conservative,Fortin,Guy,
24035,Laval Centre,Liberal,Lafleur,Pierre,
24035,Laval Centre,Canadian Alliance,Marchand,Eric,
24036,Laval East,Bloc Québécois,Alarie,Mathieu,
24036,Laval East,Liberal,Allard,Carole-Marie,
24036,Laval East,Marxist-Leninist,Cornellier-Brunelle,Gabriel,
24036,Laval East,N.D.P.,Dey,Sujata,
24036,Laval East,Green Party,Gauvin,Frédéric,
24036,Laval East,Marijuana Party,Lajoie,Christian,
24036,Laval East,Independent,Millette,Régent,
24036,Laval East,Progressive Conservative,Plourde,André,G.
24036,Laval East,Canadian Alliance,Raymond,Rosane,
24037,Laval West,Green Party,Beaulieu,Luc,
24037,Laval West,Liberal,Folco,Raymonde,
24037,Laval West,Progressive Conservative,Fortier,Michael,M.
24037,Laval West,Canadian Alliance,Housakos,Leo,
24037,Laval West,N.D.P.,Patenaude,Christian,
24037,Laval West,Bloc Québécois,Sauvé,Manon,
24037,Laval West,Marxist-Leninist,Tsakanikas,Polyvios,
24038,Lévis-et-Chutes-de-la-Chaudière,Liberal,Baril,Shirley,
24038,Lévis-et-Chutes-de-la-Chaudière,Canadian Alliance,Bergeron,Jacques,
24038,Lévis-et-Chutes-de-la-Chaudière,Communist,Cloutier,André,
24038,Lévis-et-Chutes-de-la-Chaudière,Bloc Québécois,Dubé,Antoine,
24038,Lévis-et-Chutes-de-la-Chaudière,N.D.P.,Michaud,France,
24038,Lévis-et-Chutes-de-la-Chaudière,Progressive Conservative,St-Laurent,Réal,
24039,Longueuil,Marxist-Leninist,Chénier,Stephane,
24039,Longueuil,Marijuana Party,Fiset,David,
24039,Longueuil,Liberal,Joncas,Sophie,
24039,Longueuil,Progressive Conservative,Lafleur,Richard
24039,Longueuil,Canadian Alliance,Minguy,Michel
24039,Longueuil,N.D.P.,Spurr,Timothy
24039,Longueuil,Bloc Québécois,St-Hilaire,Caroline
24040,Lotbinière-L'Érable,Canadian Alliance,Allard,Pierre
24040,Lotbinière-L'Érable,Liberal,Dastous,Luc
24040,Lotbinière-L'Érable,Bloc Québécois,Desrochers,Odina
24040,Lotbinière-L'Érable,Progressive Conservative,Landry,Jean
24040,Lotbinière-L'Érable,N.D.P.,Vaillancourt,Dominique
24041,Louis-Hébert,N.D.P.,Adomeit,Karl
24041,Louis-Hébert,Bloc Québécois,Alarie,Hélène
24041,Louis-Hébert,Marxist-Leninist,Desrochers,Gisèle
24041,Louis-Hébert,Progressive Conservative,Gauthier,Clermont
24041,Louis-Hébert,Canadian Alliance,Roy,Léonce-E.
