This file contains the  votes from the 
WD Smith, JN Quintal, D Greene 
Range- and Approval-voting presidential
pseudo-elections of 2 Nov 2004.

We now explain the data format.

RANGE VOTING (Smith 68 from Port Jefferson Station & East Setauket NY 
         and Greene 54 from Cedarhurst NY):

Each line represents a single vote and is of the 8-entry form
(7 numerical entries and one character-entry):

Bu Ke Na Ba Co Pe Ca YNX

where 
Bu=vote for Bush     (0-100;  and  -1 represents "left it blank")
Ke=vote for Kerry    (0-100;  and  -1 represents "left it blank")
Na=vote for Nader    (0-100;  and  -1 represents "left it blank")
Co=vote for Cobb     (0-100;  and  -1 represents "left it blank")
Pe=vote for Peroutka (0-100;  and  -1 represents "left it blank")
Ca=vote for Calero   (0-100;  and  -1 represents "left it blank")
YNX=one of the three characters {Y,N,X} to indicate that range voting is
respectively  better, worse, or don't know than the present plurality system.

APPROVAL VOTING  (Quintal 656 from Philadelphia PA suburbs mostly in Delaware County):
Same format as range, except for the following changes:
100 0 0 0 0 0 312 X
0 100 0 0 0 0 313 X
0 100 -1 0 0 0 314 X
100 0 0 0 0 0 315 X
100 0 0 0 0 0 316 X
0 100 0 0 0 0 317 X
0 100 0 0 0 0 318 X
100 0 0 0 0 0 319 X
100 0 0 0 0 0 320 X
0 100 0 0 0 0 321 X
0 100 0 0 0 0 322 X
0 100 0 0 0 0 323 X
0 100 -1 0 0 0 324 X
0 100 -1 0 0 0 325 X
100 0 0 0 0 0 326 X
100 0 100 0 0 0 327 X
0 100 0 0 0 0 328 X
0 100 0 0 0 0 329 X
100 0 0 0 0 0 330 X
0 100 0 0 0 100 331 X
100 0 0 0 0 0 332 X
0 100 0 0 0 0 333 X
0 100 0 0 0 0 334 X
0 100 0 0 0 0 335 X
-1 -1 0 -1 -1 -1 336 X
100 0 0 0 0 0 337 X
-1 -1 0 -1 -1 -1 338 X
0 100 0 0 0 0 339 N
0 100 0 0 0 0 340 N
0 100 0 0 0 0 341 N
0 100 0 0 0 0 342 N
0 100 0 0 0 0 343 N
0 100 0 0 0 0 344 N
0 100 0 0 0 0 345 N
0 100 0 0 0 0 346 N
0 100 0 0 0 0 347 N
0 100 0 0 0 0 348 N
100 0 0 0 0 0 349 N
100 0 0 0 0 0 350 N
100 0 0 0 0 0 351 N
0 100 0 0 0 0 352 N
0 100 0 0 0 0 353 N
0 100 0 0 0 0 354 N
0 100 100 0 0 0 355 N
100 0 0 0 0 0 356 N
0 100 0 0 0 0 357 N
-1 -1 0 -1 -1 -1 358 N
0 100 0 0 0 0 359 N
0 100 0 0 0 0 360 N
100 0 0 0 0 0 361 N
0 0 0 0 0 100 362 N
0 100 0 0 0 0 363 N
100 0 0 0 0 0 364 N
100 0 0 0 0 0 365 N
0 100 0 0 0 0 366 N
0 100 0 0 0 0 367 N
0 100 0 0 0 0 368 N
100 0 0 0 0 0 369 N
100 0 0 0 0 0 370 N
100 0 0 0 0 0 371 N
100 0 0 0 0 0 372 N
100 0 0 0 0 0 373 N
